Nº Hogares;EDAD DUEÑA DE CASA;N°INDIVIDUOS;GSE;GSE1;PADRES;CANTIDAD DE HIJOS;OTRO PARIENTE;HOMBRES EN EL HOGAR;MUJERES EN EL HOGAR;ESTADO CIVIL;NIVEL EDUC.JEFE DE HOGAR;Vivienda;Servicios Básicos;telecomunicaciones ;transporte;salud;educación;recreación y cultura;Alimentación;Vestuario y Calzado;Otros;articulos de belleza;articulos de aseo (Personal y del Hogar);ARRIENDO;DIVIDENDO;GASTOSCOMUNES;AGUA;ELECTRICIDAD;GAS;CALEFACCION;COMPRAARTEFACTOSCALEFACCIONESTUFASETC;TELEFONOFIJO;INTERNET;TVCABLE;TRANSPORTE_FURGON ESCOLAR;COMBUSTIBLE_LIQUIDO_GAS;SALUD MEDICA EN GENERAL;SALUD DENTAL EN GENERAL;MEDICAMENTOS                                                                                                                                                                 (AUTOMEDICACION Y PRESCRIPCION MEDICA;EDUCACION                                                                                                                                                                               (MATRICULA Y ARANCEL PRE BASICA);EDUCACION   (MATRICULA Y ARANCEL  BASICA);EDUCACION (MATRICULA Y ARANCEL MEDIA);EDUCACION                                                                                                                                                                                    (MATRICULA Y ARANCEL SUPERIOR);MANTENIMIENTO Y REPARACION DE                                                                                                                                      INFRAESTRUCTURA DOMICILIARIA;BIENES DURABLES                                                                                                                                (MUEBLES,ELECTRODOMESTICOS,ETC);SERVICIO DOMESTICO;DECORACION HOGAR;ARTICULOS DE BEBE;ARTICULOS DE NIÑOS;TELEFONO MOVIL;TRANSPORTE (LOCOMOCION COLECTIVA);RECREACION Y CULTURA;HOBBIES;ALMUERZO DIARIO FUERA DEL HOGAR;VESTUARIO Y CALZADO DE VESTIR;ZAPATILLAS;ARTICULOS DE BELLEZA;ASEO HOGAR;BEBESTIBLES CALIENTES;BEBESTIBLES FRIOS;ALIMENTOS NO PERECIBLES;ALIMENTOS PERECIBLES;CUIDADO PERSONAL
30;46;4;D;BAJO;SOLO MADRE;3;0;1;3;SEPARADO;MEDIA COMPLETA;0;83.000;77.600;73.000;0;0;37.000;67.914;15.000;0;10.000;24.230;;;;18.000;23.000;30.000;12.000;;15.000;12.000;12.000;;;;;;;;;;;;;;;;38.600;73.000;25.000;12.000;;15.000;;10.000;9.932;2.500;17.800;20.925;26.689;14.298
31;30;2;C2;MEDIO;SOLO MADRE;1;0;0;2;SOLTERO;MEDIA COMPLETA;90.000;36.600;22.000;20.000;0;0;20.000;67.905;94.000;150.000;12.000;9.252;90.000;;;8.600;13.000;15.000;;;;;7.000;;;;;;;;;;;;;;120.000;30.000;15.000;20.000;10.000;10.000;38.000;53.000;41.000;12.000;6.452;3.700;9.200;6.021;10.984;2.800
32;28;3;D;BAJO;AMBOS;0;1;1;2;CASADO;BASICA INCOMPLETA;0;119.150;21.490;12.000;0;0;0;33.040;0;0;7.800;1.614;;;;8.500;23.650;27.000;60.000;;21.490;;;;;;;;;;;;;;;;;;;12.000;;;;;;7.800;;3.700;7.500;15.692;6.148;1.614
33;65;2;D;BAJO;AMBOS;0;0;1;1;CASADO;BASICA COMPLETA;0;60.600;24.500;5.000;0;0;0;55.092;0;0;0;29.583;;;;8.000;15.000;13.600;24.000;;16.500;;;;;;;;;;;;;;;;;;8.000;5.000;;;;;;;12.283;3.700;4.989;17.710;28.693;17.300
34;58;4;C3;MEDIO;AMBOS;1;1;2;2;CASADO;BASICA COMPLETA;0;78.100;90.000;80.000;60.000;0;20.000;75.147;24.000;112.000;5.000;13.714;;;;13.150;19.950;30.000;15.000;;15.000;15.000;15.000;;20.000;;;60.000;;;;;;80.000;;7.000;;25.000;45.000;60.000;10.000;10.000;;24.000;;5.000;8.063;9.508;4.199;38.632;22.808;5.651
35;80;6;C1;ALTO;AMBOS;1;2;1;5;CASADO;UNIVERSITARIA COMPLETA;0;144.600;134.700;340.000;162.000;200.000;32.000;86.239;0;160.000;10.000;28.597;;;;25.000;39.600;50.000;30.000;;17.800;18.900;23.000;;300.000;29.000;40.000;93.000;;;;200.000;;;160.000;;;;75.000;40.000;32.000;;;;;10.000;4.299;4.290;10.200;34.220;37.529;24.298
36;62;4;C1;ALTO;AMBOS;1;0;1;3;CASADO;MEDIA COMPLETA;110.000;177.000;90.000;135.000;110.000;0;0;61.554;50.000;79.000;36.500;22.967;;110.000;;25.000;47.000;30.000;75.000;29.000;37.000;13.000;;;100.000;30.000;30.000;50.000;;;;;;;50.000;;;;40.000;35.000;;;;;50.000;36.500;7.409;;17.050;27.653;16.851;15.558
37;51;5;C1;ALTO;AMBOS;3;0;3;2;CASADO;UNIVERSITARIA COMPLETA;0;139.061;118.800;120.000;15.000;136.000;0;59.636;150.000;0;30.000;50.160;;;;30.000;26.000;53.061;30.000;;20.000;17.500;21.300;;80.000;;;15.000;;40.000;;96.000;;;;;;;60.000;40.000;;;;100.000;50.000;30.000;31.210;3.010;8.235;17.626;30.765;18.950
38;55;1;C2;MEDIO;SOLO MADRE;0;0;0;1;SOLTERO;UNIVERSITARIA COMPLETA;120.000;45.130;25.000;5.000;146.500;0;50.000;61.659;45.000;10.000;10.000;15.921;120.000;;;8.500;6.630;15.000;15.000;;;;10.000;;;29.600;53.000;63.900;;;;;;;;10.000;;;15.000;5.000;50.000;;60.000;45.000;;10.000;9.340;;;1.659;;6.581
39;60;2;D;BAJO;AMBOS;0;0;1;1;CASADO;MEDIA COMPLETA;0;41.000;20.000;150.000;44.940;0;0;109.190;0;0;0;17.308;;;;10.000;16.000;15.000;;;;;;;130.000;5.000;11.000;28.940;;;;;;;;;;;20.000;20.000;;;50.000;;;;5.931;4.800;7.500;26.873;20.017;11.377
