Nº Hogares;EDAD DUEÑA DE CASA;N°INDIVIDUOS;GSE;GSE1;PADRES;CANTIDAD DE HIJOS;OTRO PARIENTE;HOMBRES EN EL HOGAR;MUJERES EN EL HOGAR;ESTADO CIVIL;NIVEL EDUC.JEFE DE HOGAR;Vivienda;Servicios Básicos;telecomunicaciones ;transporte;salud;educación;recreación y cultura;Alimentación;Vestuario y Calzado;Otros;articulos de belleza;articulos de aseo (Personal y del Hogar);ARRIENDO;DIVIDENDO;GASTOSCOMUNES;AGUA;ELECTRICIDAD;GAS;CALEFACCION;COMPRAARTEFACTOSCALEFACCIONESTUFASETC;TELEFONOFIJO;INTERNET;TVCABLE;TRANSPORTE_FURGON ESCOLAR;COMBUSTIBLE_LIQUIDO_GAS;SALUD MEDICA EN GENERAL;SALUD DENTAL EN GENERAL;MEDICAMENTOS                                                                                                                                                                 (AUTOMEDICACION Y PRESCRIPCION MEDICA;EDUCACION                                                                                                                                                                               (MATRICULA Y ARANCEL PRE BASICA);EDUCACION   (MATRICULA Y ARANCEL  BASICA);EDUCACION (MATRICULA Y ARANCEL MEDIA);EDUCACION                                                                                                                                                                                    (MATRICULA Y ARANCEL SUPERIOR);MANTENIMIENTO Y REPARACION DE                                                                                                                                      INFRAESTRUCTURA DOMICILIARIA;BIENES DURABLES                                                                                                                                (MUEBLES,ELECTRODOMESTICOS,ETC);SERVICIO DOMESTICO;DECORACION HOGAR;ARTICULOS DE BEBE;ARTICULOS DE NIÑOS;TELEFONO MOVIL;TRANSPORTE (LOCOMOCION COLECTIVA);RECREACION Y CULTURA;HOBBIES;ALMUERZO DIARIO FUERA DEL HOGAR;VESTUARIO Y CALZADO DE VESTIR;ZAPATILLAS;ARTICULOS DE BELLEZA;ASEO HOGAR;BEBESTIBLES CALIENTES;BEBESTIBLES FRIOS;ALIMENTOS NO PERECIBLES;ALIMENTOS PERECIBLES;CUIDADO PERSONAL
118;60;5;D;BAJO;AMBOS;1;2;2;3;CASADO;BASICA COMPLETA;0;93.870;35.990;36.800;0;12.000;0;50.805;4.000;8.400;2.900;23.111;;;;22.500;20.070;26.300;25.000;;18.990;;;;;;;;5.000;7.000;;;;8.400;;;;;17.000;36.800;;;;;4.000;2.900;9.436;1.400;3.190;21.606;24.609;13.675
119;73;2;C3;MEDIO;AMBOS;0;0;1;1;CASADO;BASICA INCOMPLETA;0;55.820;5.000;10.000;9.000;0;0;33.537;0;0;0;30.228;;;;17.100;10.120;14.300;14.300;;5.000;;;;;;;9.000;;;;;;;;;;;;10.000;;;;;;;8.740;4.850;920;17.432;10.335;21.488
120;73;7;C2;MEDIO;SOLO MADRE;2;4;1;6;VIUDO;MEDIA INCOMPLETA;195.500;79.100;103.640;64.900;0;0;0;141.842;45.500;0;8.900;44.700;195.500;;;14.000;23.100;33.000;9.000;;12.100;18.990;17.550;20.000;;;;;;;;;;;;;;;55.000;44.900;;;;45.500;;8.900;19.108;11.518;7.431;60.172;62.721;25.592
121;65;2;C1;ALTO;AMBOS;0;0;1;1;CASADO;UNIVERSITARIA COMPLETA;0;92.590;109.000;66.000;55.400;0;5.000;126.882;0;10.600;4.590;43.244;;;;14.200;25.990;35.900;16.500;;18.000;21.000;20.000;;60.000;45.400;;10.000;;;;;;;;;;10.600;50.000;6.000;5.000;;15.000;;;4.590;14.990;4.484;10.568;25.821;71.009;28.254
122;72;2;C2;MEDIO;AMBOS;0;0;1;1;CASADO;TECNICA INDUSTRIAL O COMERCIAL COMPLETA;0;62.000;40.890;45.000;10.000;0;0;73.798;0;0;0;12.740;;;;10.000;22.000;;30.000;;18.000;;;;;;;10.000;;;;;;;;;;;22.890;45.000;;;;;;;2.749;4.869;11.298;23.004;34.627;9.991
123;71;6;C1;ALTO;SOLO MADRE;4;0;2;4;VIUDO;MEDIA COMPLETA;310.000;135.100;72.999;120.000;10.000;191.000;0;116.498;35.000;0;15.000;34.388;300.000;;;5.100;45.000;45.000;40.000;;18.333;18.333;18.333;;60.000;;;10.000;;;60.000;131.000;10.000;;;;;;18.000;60.000;;;22.000;30.000;5.000;15.000;10.484;2.248;16.923;19.226;56.101;23.904
124;74;4;C2;MEDIO;AMBOS;1;1;1;3;CASADO;MEDIA COMPLETA;0;76.750;59.000;85.000;20.000;52.500;0;78.997;0;0;0;24.454;;;;11.100;18.650;24.000;23.000;;39.000;20.000;;40.000;20.000;;;20.000;;52.500;;;;;;;;;;25.000;;;;;;;3.896;3.195;8.740;26.828;40.234;20.558
125;60;3;D;BAJO;AMBOS;1;0;1;2;CASADO;BASICA INCOMPLETA;0;70.000;18.000;25.000;0;0;0;39.035;0;0;0;6.289;;;;4.000;25.000;17.000;24.000;;18.000;;;;;;;;;;;;;;;;;;;25.000;;;;;;;5.289;1.359;13.638;7.853;16.185;1.000
126;54;6;D;BAJO;SOLO MADRE;2;2;4;2;SOLTERO;MEDIA COMPLETA;90.000;90.000;23.000;50.000;0;0;12.000;59.858;39.000;0;0;17.265;90.000;;;18.000;24.000;28.000;20.000;;;;;25.000;;;;;;;;;;;;;;;23.000;25.000;12.000;;;39.000;;;5.650;1.370;9.848;11.410;37.230;11.615
127;67;2;C2;MEDIO;SOLO MADRE;1;0;1;1;VIUDO;BASICA INCOMPLETA;0;76.900;36.775;15.000;150.000;0;0;86.057;20.000;0;15.000;10.021;;;;7.500;11.500;42.900;15.000;;20.000;;;;;50.000;;100.000;;;;;;;;;;;16.775;15.000;;;;20.000;;15.000;7.631;6.004;3.858;26.857;49.338;2.390
128;83;4;D;BAJO;SOLO MADRE;1;2;2;2;VIUDO;BASICA INCOMPLETA;0;108.400;49.400;12.000;8.000;0;0;56.671;130.500;0;13.400;12.151;;;;16.700;43.400;;48.300;;21.400;;;;;8.000;;;;;;;;;;;;;28.000;12.000;;;;130.500;;13.400;2.525;;4.520;10.006;42.145;9.626
129;21;6;E;BAJO;AMBOS;1;2;5;1;CONVIVIENTE;MEDIA INCOMPLETA;0;50.000;5.000;10.000;0;0;0;50.137;7.000;25.000;0;7.166;;;;15.000;18.000;7.000;10.000;;;;;;;;;;;;;;;;;;20.000;5.000;5.000;10.000;;;48.000;;7.000;;2.376;200;190;897;850;4.790
130;42;7;C3;MEDIO;SOLO PADRE;0;6;5;2;SOLTERO;POST GRADO;0;83.750;74.000;25.000;47.000;0;0;109.456;0;89.000;0;25.500;;;;23.500;21.250;39.000;;;17.000;21.000;21.000;;;37.000;;10.000;;;;;;89.000;;;;;15.000;25.000;;;;;;;9.641;7.911;1.609;48.302;51.634;15.859
131;64;2;C2;MEDIO;AMBOS;0;0;1;1;CASADO;TECNICA COMPLETA DE EDUCACION SUPERIOR;226.870;103.500;50.000;102.000;6.000;43.000;7.000;105.708;50.000;10.000;15.000;16.128;;;;10.000;25.000;43.500;25.000;;10.000;10.000;15.000;27.000;25.000;3.000;;3.000;;;;43.000;226.870;;;;;10.000;15.000;50.000;7.000;;;50.000;;15.000;7.054;2.869;5.490;36.192;61.157;9.074
132;92;3;C2;MEDIO;SOLO MADRE;2;0;1;2;VIUDO;BASICA COMPLETA;0;109.300;56.000;27.800;25.000;0;15.000;87.446;0;60.000;0;52.187;;;;15.900;28.200;20.000;45.200;;10.000;10.000;24.000;;;;;25.000;;;;;;;60.000;;;;12.000;27.800;15.000;;;;;;26.253;6.841;;39.844;40.761;25.934
133;58;5;C3;MEDIO;AMBOS;1;2;3;2;CASADO;BASICA COMPLETA;0;38.500;94.100;50.000;15.000;80.000;60.000;105.615;50.000;25.000;25.000;17.472;;;;5.000;10.000;15.000;8.500;;5.100;18.000;35.000;;;;;15.000;;15.000;;65.000;;;;;;25.000;36.000;50.000;;60.000;40.000;50.000;;25.000;4.976;6.878;6.091;8.095;44.551;12.496
134;67;9;D;BAJO;AMBOS;5;1;6;3;CASADO;UNIVERSITARIA INCOMPLETA;0;42.250;89.001;40.000;0;169.900;0;78.023;0;0;10.000;7.233;;;;13.250;15.400;13.600;;;56.001;;;;;;;;;46.000;46.000;77.900;;;;;;;33.000;40.000;;;;;;10.000;;1.897;7.423;11.380;57.323;7.233
135;48;6;D;BAJO;AMBOS;2;2;3;3;CONVIVIENTE;TECNICA INCOMPLETA DE EDUCACION SUPERIOR;0;12.400;80.000;220.000;8.000;80.000;28.000;94.742;0;20.000;3.990;9.908;;;;900;3.000;8.500;;;;;;;200.000;;;8.000;;;;80.000;;;;;;20.000;80.000;20.000;28.000;;;;;3.990;2.555;5.440;19.181;15.193;54.928;7.353
136;42;5;D;BAJO;AMBOS;3;0;4;1;CASADO;MEDIA COMPLETA;35.000;68.000;3.500;50.000;0;0;0;108.673;25.000;35.000;0;18.201;;35.000;;12.000;33.000;23.000;;;;;3.500;5.000;40.000;;;;;;;;;35.000;;;;;;5.000;;;;;25.000;;9.774;2.070;7.896;59.048;39.659;8.427
137;52;7;E;BAJO;AMBOS;3;2;3;4;CONVIVIENTE;BASICA COMPLETA;75.000;77.700;93.500;45.000;4.900;0;25.000;92.450;67.000;10.000;32.500;17.710;75.000;;;13.000;35.700;29.000;;;;40.000;3.500;;;;;4.900;;;;;;;;;;10.000;50.000;45.000;25.000;;20.000;47.000;20.000;32.500;14.860;;31.060;10.039;31.351;2.850
138;50;6;C2;MEDIO;AMBOS;4;0;3;3;CASADO;TECNICA COMPLETA DE EDUCACION SUPERIOR;0;105.500;103.500;160.000;100.000;225.000;30.000;132.741;0;110.000;20.000;12.320;;;;12.000;23.500;40.000;30.000;110.000;37.500;;;80.000;60.000;80.000;20.000;;;;15.000;210.000;;;;;;;66.000;20.000;30.000;;60.000;;;20.000;;3.412;12.923;16.546;39.860;12.320
139;66;5;C3;MEDIO;AMBOS;1;2;3;2;CASADO;BASICA INCOMPLETA;45.000;100.600;56.500;80.500;49.120;0;0;40.441;185.000;7.000;2.800;11.449;;;;28.150;36.950;;35.500;;5.000;;25.500;25.500;50.000;4.670;;44.450;;;;;45.000;;;;;7.000;26.000;5.000;;;7.000;185.000;;2.800;3.076;1.690;5.692;4.751;21.308;8.373
140;33;2;E;BAJO;AMBOS;1;0;0;2;SEPARADO;MEDIA INCOMPLETA;120.000;57.500;30.000;60.000;0;0;0;94.915;0;20.000;0;17.412;120.000;;;25.000;18.000;14.500;;;;;;;10.000;;;;;;;;;;;;;20.000;30.000;50.000;;;34.000;;;;7.662;1.895;14.506;18.930;25.584;9.750
141;50;3;D;BAJO;AMBOS;1;0;2;1;CASADO;MEDIA COMPLETA;0;57.800;34.600;30.000;0;70.000;0;48.772;0;198.000;0;9.182;;;;10.800;24.500;14.000;8.500;;12.300;12.300;;;;;;;;;;70.000;;198.000;;;;;10.000;30.000;;;;;;;1.200;2.964;2.377;12.440;30.991;7.982
142;58;5;D;BAJO;SOLO MADRE;2;2;2;3;VIUDO;BASICA INCOMPLETA;0;80.200;29.490;6.000;2.000;0;0;73.772;36.400;0;0;37.193;;;;12.400;10.400;38.800;18.600;;17.490;;;;;;;2.000;;;;;;;;;;;12.000;6.000;;;;36.400;;;13.330;;18.082;14.409;41.281;23.863
143;70;4;D;BAJO;AMBOS;2;0;2;2;CASADO;BASICA INCOMPLETA;0;79.310;53.000;42.500;0;0;0;61.171;0;0;0;21.041;;;;7.500;11.950;29.860;30.000;;;;16.500;;;;;;;;;;;;;;;;36.500;42.500;;;;;;;17.235;3.905;8.012;20.126;29.128;3.806
144;59;2;C2;MEDIO;SOLO MADRE;1;0;1;1;VIUDO;UNIVERSITARIA INCOMPLETA;32.000;53.590;48.980;110.000;5.000;0;0;87.012;0;108.390;0;14.083;;;;16.900;18.500;18.190;;9.890;11.660;11.660;11.660;;80.000;5.000;;;;;;;32.000;71.000;;12.500;;15.000;14.000;30.000;;;15.000;;;;7.138;4.285;11.837;19.054;36.836;6.945
145;45;4;D;BAJO;SOLO MADRE;3;0;3;1;SEPARADO;BASICA INCOMPLETA;23.000;53.200;20.000;40.000;5.100;0;0;48.363;29.000;72.000;0;7.988;;;;11.100;22.000;20.100;;;5.000;;;;;;;5.100;;;;;23.000;72.000;;;;;15.000;40.000;;;6.000;29.000;;;2.550;500;7.042;6.916;27.905;5.438
146;46;5;C3;MEDIO;AMBOS;3;1;2;3;SEPARADO;MEDIA INCOMPLETA;0;101.600;72.870;115.000;47.000;0;25.000;34.182;66.000;235.000;1.790;14.756;;;;21.500;26.600;45.000;8.500;;9.290;9.290;9.290;;30.000;45.000;;2.000;;;;;;200.000;;;30.000;5.000;45.000;85.000;25.000;;;26.000;40.000;1.790;4.699;2.498;4.512;7.658;19.514;10.057
147;45;5;C2;MEDIO;AMBOS;2;1;2;3;CASADO;TECNICA COMPLETA DE EDUCACION SUPERIOR;350.000;89.000;75.000;45.000;30.000;120.000;50.000;108.227;30.000;10.000;50.000;24.223;;200.000;;19.000;35.000;35.000;;;15.000;15.000;15.000;;40.000;10.000;;20.000;;60.000;60.000;;150.000;10.000;;;;;30.000;5.000;50.000;;20.000;30.000;;50.000;8.449;;18.336;9.714;60.177;15.774
148;26;3;D;BAJO;AMBOS;1;0;1;2;CONVIVIENTE;TECNICA INCOMPLETA DE EDUCACION SUPERIOR;0;51.690;4.000;10.000;0;0;0;76.897;3.000;110.000;0;8.950;;;;9.000;21.500;14.890;6.300;;;;;;;;;;;;;;;80.000;;;;30.000;4.000;10.000;;;40.000;3.000;;;2.080;1.800;10.736;3.773;20.588;6.870
149;28;5;D;BAJO;AMBOS;2;0;3;2;CASADO;MEDIA COMPLETA;65.000;53.200;28.100;40.000;0;0;0;56.852;0;4.000;0;25.376;;65.000;;12.200;18.000;11.500;11.500;;;3.400;8.700;;;;;;;;;;;;;;;4.000;16.000;40.000;;;;;;;6.201;1.290;16.139;11.018;28.405;19.175
150;47;5;D;BAJO;AMBOS;3;0;3;2;CASADO;BASICA COMPLETA;0;78.300;8.000;40.000;3.000;0;9.000;54.729;20.000;10.000;0;5.581;;;;19.800;29.500;29.000;;;;;;;;;;3.000;;;;;;;;;;10.000;8.000;40.000;9.000;;3.000;;20.000;;2.170;1.900;17.418;13.856;18.555;3.411
151;68;2;C3;MEDIO;AMBOS;0;0;1;1;CASADO;MEDIA COMPLETA;380.000;99.000;23.000;5.000;37.000;0;3.000;48.573;21.500;3.000;15.000;5.610;;;;22.500;40.000;26.000;10.500;;15.000;;;;;35.000;;2.000;;;;;380.000;;;;;3.000;8.000;5.000;;3.000;;21.500;;15.000;3.417;2.133;19.021;6.063;21.356;2.193
152;65;2;C3;MEDIO;SOLO MADRE;0;1;1;1;SEPARADO;MEDIA COMPLETA;35.000;71.000;31.000;20.000;3.000;0;0;44.767;10.900;60.000;0;4.280;;;;26.200;26.000;;18.800;;15.000;;10.000;;;;;3.000;;;;;35.000;60.000;;;;;6.000;20.000;;;10.000;;10.900;;890;760;11.439;10.512;12.056;3.390
153;65;4;D;BAJO;AMBOS;1;0;2;2;CASADO;MEDIA COMPLETA;0;100.600;118.000;48.000;250.000;15.000;0;108.425;0;0;0;13.915;;;;23.000;38.500;25.400;13.700;;28.000;14.000;14.000;20.000;20.000;150.000;;100.000;;15.000;;;;;;;;;62.000;8.000;;;30.000;;;;4.920;1.729;28.115;17.501;31.080;8.995
154;49;4;C3;MEDIO;AMBOS;2;0;1;3;CASADO;MEDIA COMPLETA;0;79.500;77.500;115.000;140.000;232.000;0;134.146;95.000;160.000;10.000;28.843;;;;12.000;22.000;32.000;13.500;;12.500;12.500;12.500;15.000;40.000;;140.000;;;22.000;;210.000;;;140.000;;;20.000;40.000;60.000;;;60.000;50.000;45.000;10.000;10.363;1.145;5.452;24.652;42.897;18.480
155;61;13;C3;MEDIO;SOLO PADRE;1;9;8;5;SOLTERO;MEDIA COMPLETA;10.000;84.080;56.000;101.920;6.150;0;0;285.497;22.500;178.000;0;18.592;;;;17.990;29.990;21.900;14.200;;14.000;14.000;;;;4.900;;1.250;;;;;10.000;130.000;;6.000;14.000;28.000;28.000;101.920;;;64.000;;22.500;;11.943;1.844;70.134;46.273;103.246;6.649
156;74;7;C1;ALTO;SOLO MADRE;4;1;2;5;SEPARADO;UNIVERSITARIA COMPLETA;0;248.000;148.000;190.000;65.000;523.000;20.000;102.784;0;33.000;30.000;40.618;;;;27.500;89.600;88.900;42.000;;16.000;16.000;16.000;;140.000;;50.000;15.000;;180.000;55.000;288.000;;;;;;33.000;100.000;50.000;20.000;;;;;30.000;18.099;6.380;19.515;25.258;51.631;22.519
157;63;3;C1;ALTO;SOLO MADRE;2;0;2;1;VIUDO;UNIVERSITARIA INCOMPLETA;0;132.500;126.000;20.000;20.000;380.000;0;73.139;90.000;728.000;5.000;27.767;;;;17.000;22.000;33.500;60.000;;22.000;22.000;22.000;;;20.000;;;;;;380.000;;728.000;;;;;60.000;20.000;;;;60.000;30.000;5.000;7.624;4.467;10.969;21.831;35.872;20.143
158;55;4;C1;ALTO;AMBOS;2;0;2;2;CASADO;UNIVERSITARIA COMPLETA;250.000;135.000;90.000;120.000;90.000;300.000;20.000;43.030;15.000;400.000;5.000;8.654;;250.000;;25.000;25.000;35.000;50.000;;15.000;15.000;;;50.000;40.000;50.000;;;;;300.000;;400.000;;;;;60.000;70.000;20.000;;;15.000;;5.000;2.624;1.299;2.806;9.595;29.330;6.030
159;55;5;C1;ALTO;AMBOS;3;0;2;3;CASADO;UNIVERSITARIA COMPLETA;570.000;229.000;149.000;60.000;980.000;625.000;0;79.723;0;0;0;23.028;570.000;;;48.000;70.000;69.000;42.000;;23.000;23.000;23.000;;;900.000;;80.000;;;245.000;380.000;;;;;;;80.000;60.000;;;10.000;;;;9.668;4.358;15.584;15.331;34.450;13.360
160;51;3;D;BAJO;AMBOS;1;0;2;1;CASADO;TECNICA COMPLETA DE EDUCACION SUPERIOR;24.000;83.000;87.000;80.000;200.000;0;0;54.784;200.000;0;0;33.023;;;24.000;23.000;23.000;22.000;15.000;;18.000;18.000;18.000;;;;200.000;;;;;;;;;;;;33.000;80.000;;;;200.000;;;17.324;4.117;12.624;10.470;27.573;15.699
161;65;4;C2;MEDIO;AMBOS;2;0;2;2;CASADO;MEDIA COMPLETA;0;51.700;75.000;95.000;0;0;5.000;39.175;40.000;0;0;6.492;;;;8.300;12.900;22.000;8.500;;15.000;15.000;15.000;;40.000;;;;;;;;;;;;;;30.000;55.000;;5.000;8.000;;40.000;;1.990;1.726;3.038;11.163;15.248;4.502
162;85;1;C2;MEDIO;SOLO MADRE;0;0;0;1;VIUDO;TECNICA COMPLETA DE EDUCACION SUPERIOR;0;96.400;40.000;30.000;125.000;0;0;45.681;0;250.000;0;13.043;;;;12.800;21.600;30.000;32.000;;20.000;;20.000;;;110.000;;15.000;;;;;;;250.000;;;;;30.000;;;;;;;7.563;6.407;6.522;16.796;15.956;5.480
163;76;2;C2;MEDIO;AMBOS;0;0;1;1;SEPARADO;TECNICA COMPLETA DE EDUCACION SUPERIOR;45.000;37.300;51.000;4.000;61.000;0;5.000;20.848;0;0;0;11.757;;;45.000;8.000;14.000;15.300;;;18.000;;18.000;;;;55.000;6.000;;;;;;;;;;;15.000;4.000;;5.000;;;;;3.039;1.844;4.240;6.626;8.138;8.718
164;73;3;C2;MEDIO;SOLO MADRE;1;1;0;3;VIUDO;MEDIA INCOMPLETA;0;91.000;78.000;65.000;60.000;0;10.000;82.381;20.000;15.000;10.000;10.969;;;;12.000;18.000;25.000;36.000;;16.000;16.000;16.000;;50.000;30.000;;30.000;;;;;;;15.000;;;;30.000;15.000;;10.000;36.000;20.000;;10.000;7.796;2.034;5.517;12.169;26.661;3.173
165;66;2;C2;MEDIO;AMBOS;0;0;1;1;CASADO;TECNICA COMPLETA DE EDUCACION SUPERIOR;0;82.000;57.000;80.000;62.000;0;11.000;135.983;0;0;15.000;16.506;;;;10.000;17.000;25.000;30.000;;19.000;19.000;19.000;;;50.000;;12.000;;;;;;;;;;;;80.000;;11.000;;;;15.000;7.980;5.454;8.773;53.398;68.358;8.526
166;46;3;C2;MEDIO;SOLO MADRE;1;0;1;2;CASADO;TECNICA COMPLETA DE EDUCACION SUPERIOR;35.000;140.000;59.000;57.000;90.000;0;0;41.864;0;28.000;10.000;11.553;;;;17.000;18.000;45.000;60.000;;18.000;18.000;;17.000;;10.000;;80.000;;;;;35.000;28.000;;;;;23.000;40.000;;;;;;10.000;3.484;6.868;978;17.365;16.653;8.069
167;55;3;C1;ALTO;AMBOS;1;0;1;2;CASADO;POST GRADO;999.000;161.000;104.000;369.000;130.000;64.000;60.000;85.099;145.000;173.000;20.000;34.178;;;;40.000;30.000;43.000;48.000;;18.000;18.000;18.000;54.000;300.000;30.000;;100.000;;;64.000;;999.000;125.000;36.000;12.000;;;50.000;15.000;60.000;;20.000;100.000;45.000;20.000;20.623;759;10.674;8.280;45.386;13.555
168;63;2;C1;ALTO;AMBOS;0;0;1;1;CASADO;UNIVERSITARIA INCOMPLETA;430.000;151.000;130.000;80.000;25.000;0;35.000;138.914;0;120.000;0;39.422;;400.000;;35.000;74.000;17.000;25.000;;20.000;20.000;20.000;;50.000;;;25.000;;;;;30.000;;120.000;;;;70.000;30.000;;35.000;25.000;;;;3.566;3.688;32.813;22.104;55.309;35.856
169;63;1;C1;ALTO;AMBOS;0;0;0;1;CASADO;UNIVERSITARIA INCOMPLETA;0;86.900;71.000;30.000;0;0;112.000;90.571;10.000;25.000;20.000;21.376;;;;20.000;20.000;35.000;11.900;;15.000;15.000;15.000;;30.000;;;;;;;;;25.000;;;;;26.000;;100.000;12.000;;10.000;;20.000;9.502;9.183;9.782;14.048;57.558;11.874
170;69;5;C2;MEDIO;SOLO MADRE;1;3;1;4;VIUDO;TECNICA COMPLETA DE EDUCACION SUPERIOR;150.000;118.000;124.000;115.000;59.000;100.000;20.000;59.535;0;300.000;10.000;18.834;;;70.000;28.000;40.000;35.000;15.000;;18.000;18.000;18.000;45.000;60.000;14.000;;45.000;;;;100.000;80.000;150.000;;150.000;;;70.000;10.000;10.000;10.000;;;;10.000;17.168;2.989;12.137;15.253;29.156;1.666
171;47;4;C1;ALTO;AMBOS;2;0;2;2;CASADO;UNIVERSITARIA COMPLETA;530.000;201.000;141.000;170.000;98.000;0;0;120.116;30.000;160.000;10.000;20.879;500.000;;;38.000;38.000;35.000;90.000;;33.000;;28.000;;120.000;;;98.000;;;;;30.000;;160.000;;;;80.000;50.000;;;25.000;30.000;;10.000;6.364;4.975;32.007;13.439;44.695;14.515
172;38;4;C3;MEDIO;AMBOS;2;0;3;1;SOLTERO;MEDIA COMPLETA;55.560;44.050;30.000;25.000;0;40.000;0;31.407;0;20.000;2.500;33.653;;55.560;;5.400;13.650;25.000;;;;;;;;;;;;;25.000;15.000;;;;;20.000;;30.000;25.000;;;;;;2.500;9.381;1.588;4.649;10.606;14.564;24.272
173;33;4;E;BAJO;SOLO MADRE;3;0;0;4;SOLTERO;MEDIA INCOMPLETA;88.000;76.000;10.000;52.000;43.590;30.000;0;109.150;19.000;290.000;3.500;28.393;58.000;;;6.000;33.000;12.000;25.000;85.000;;;;;;10.000;15.000;18.590;;30.000;;;30.000;190.000;;;;15.000;10.000;52.000;;;;8.000;11.000;3.500;11.460;4.657;18.679;30.440;55.374;16.933
174;62;3;C3;MEDIO;AMBOS;0;1;1;2;CASADO;MEDIA INCOMPLETA;0;47.750;34.650;15.000;0;30.000;0;72.020;40.000;0;0;11.794;;;;9.900;15.650;11.100;11.100;;24.650;;;;10.000;;;;;30.000;;;;;;;;;10.000;5.000;;;;20.000;20.000;;7.239;2.540;4.193;13.842;51.445;4.555
175;69;2;C2;MEDIO;AMBOS;0;0;1;1;CASADO;BASICA INCOMPLETA;0;64.000;57.000;10.000;0;0;0;18.583;0;0;0;16.054;;;;14.000;22.000;14.000;14.000;;14.000;14.000;26.000;;10.000;;;;;;;;;;;;;;3.000;;;;;;;;5.236;550;;14.393;3.640;10.818
176;54;6;C2;MEDIO;AMBOS;2;1;2;4;CASADO;TECNICA COMPLETA DE EDUCACION SUPERIOR;0;94.900;55.490;48.000;150.000;31.000;10.000;23.292;0;35.000;0;7.498;;;;28.000;35.000;15.950;15.950;;;15.490;;18.000;;;150.000;;31.000;;;;;;;10.000;;25.000;40.000;30.000;10.000;;;;;;3.190;;5.180;3.174;14.938;4.308
177;80;1;C3;MEDIO;SOLO MADRE;0;0;0;1;SOLTERO;MEDIA INCOMPLETA;0;24.850;0;2.000;0;0;0;4.890;0;0;0;1.344;;;;5.000;5.000;11.450;3.400;;;;;;;;;;;;;;;;;;;;;2.000;;;;;;;844;;;;4.890;500
178;70;1;D;BAJO;SOLO PADRE;0;0;1;0;VIUDO;BASICA INCOMPLETA;0;58.000;12.000;10.000;0;0;0;17.877;20.000;0;0;10.500;;;;15.000;10.000;16.000;17.000;;12.000;;;;;;;;;;;;;;;;;;;10.000;;;;20.000;;;6.121;1.945;8.905;2.927;4.100;4.379
179;47;4;C3;MEDIO;SOLO MADRE;2;1;0;4;SEPARADO;BASICA INCOMPLETA;55.000;90.000;42.000;15.000;77.000;90.000;0;56.613;0;290.000;0;12.262;;30.000;;22.000;35.000;33.000;;;11.000;12.000;;;;22.000;;55.000;;;;90.000;25.000;290.000;;;;;19.000;15.000;;;;;;;8.648;390;1.839;17.047;37.337;3.614
180;36;3;C3;MEDIO;AMBOS;1;0;2;1;CONVIVIENTE;MEDIA COMPLETA;0;58.500;25.000;40.000;0;0;0;63.816;74.000;0;0;29.108;;;;15.000;15.000;9.600;18.900;;5.000;;;;40.000;;;;;;;;;;;;;;20.000;;;;;45.000;29.000;;11.346;2.850;11.602;22.272;27.092;17.762
181;74;2;C3;MEDIO;AMBOS;0;0;1;1;CASADO;TECNICA INDUSTRIAL O COMERCIAL COMPLETA;0;93.000;5.000;14.000;45.000;0;0;19.055;0;200.000;4.000;9.534;;;;40.000;38.000;15.000;;;;;;7.000;;5.000;;40.000;;;;;;200.000;;;;;5.000;7.000;;;;;;4.000;7.004;1.340;1.482;3.774;12.459;2.530
182;57;3;D;BAJO;AMBOS;1;0;2;1;CASADO;MEDIA COMPLETA;0;57.000;9.000;10.000;0;10.000;0;33.546;19.500;0;0;2.788;;;;9.500;28.000;12.000;7.500;;;;;;;;;;;10.000;;;;;;;;;9.000;10.000;;;;12.500;7.000;;;;10.856;6.127;16.563;2.788
183;24;3;E;BAJO;SOLO PADRE;1;1;2;1;CONVIVIENTE;MEDIA COMPLETA;0;106.000;24.500;73.000;0;25.000;12.000;57.644;15.000;20.000;12.500;18.873;;;;7.000;35.000;24.000;40.000;;;14.500;;28.000;40.000;;;;;25.000;;;;;;;;20.000;10.000;5.000;12.000;;;;15.000;12.500;3.645;2.394;6.858;14.519;33.873;15.228
184;64;6;C3;MEDIO;SOLO MADRE;1;4;3;3;SEPARADO;BASICA COMPLETA;0;109.100;54.000;52.000;16.680;0;0;60.800;0;0;0;25.335;;;;24.000;42.000;31.900;11.200;;15.500;15.500;;;;12.400;;4.280;;;;;;;;;;;23.000;52.000;;;;;;;11.882;1.390;5.564;17.891;35.955;13.453
185;41;4;D;BAJO;AMBOS;2;0;2;2;CASADO;BASICA INCOMPLETA;0;59.000;45.000;2.000;0;25.000;11.000;19.070;15.000;3.000;2.500;4.232;;;;25.000;15.000;11.000;8.000;;;;30.000;;;;;;;;25.000;;;;;;;3.000;15.000;2.000;11.000;;;15.000;;2.500;509;1.184;4.824;1.445;11.617;3.723
186;58;3;C1;ALTO;AMBOS;1;0;2;1;CASADO;UNIVERSITARIA COMPLETA;380.000;196.550;106.500;135.000;110.000;250.000;43.500;80.496;15.000;10.000;35.000;4.001;;350.000;;22.000;69.550;45.000;60.000;;16.500;16.500;16.500;;100.000;50.000;;60.000;;;250.000;;30.000;;;10.000;;;57.000;35.000;43.500;;48.000;15.000;;35.000;;1.359;3.681;4.877;22.579;4.001
